NNR HeNR MRCI1
2 5.3 -3032.862813863332
2 5.4 -3032.8625689607675
2 5.5 -3032.862345827319
2 5.6 -3032.862147184128
2 5.7 -3032.861964867774
2 5.8 -3032.8618015993975
2 6 -3032.861521322018
2.1 1.75 -3021.2847321766294
2.1 1.85 -3026.191175469187
2.1 1.9500000000000002 -3028.7283850895283
2.1 2.05 -3030.1412252652967
2.1 2.1500000000000004 -3031.011108291263
2.1 2.25 -3031.5956580600036
2.1 2.35 -3032.0117284697917
2.1 2.45 -3032.317794089706
2.1 2.55 -3032.546149404637
2.1 2.6500000000000004 -3032.716177092029
2.1 2.75 -3032.8412461107832
2.1 2.85 -3032.931016506517
2.1 2.95 -3032.992565963356
2.1 3.05 -3033.0309367529962
2.1 3.1500000000000004 -3033.0490649850785
2.1 3.25 -3033.0466105171504
2.1 3.3499999999999996 -3033.015437141778
2.1 3.45 -3032.9182108235127
2.1 3.55 -3032.5871787476767
2.1 3.6500000000000004 -3032.5164481657944
2.1 3.75 -3032.5380077549244
2.1 3.8499999999999996 -3032.547776646124
2.1 3.95 -3032.5525168713248
2.1 4.05 -3032.55471283099
2.1 4.15 -3032.555578153386
2.1 4.25 -3032.555697883529
2.1 4.35 -3032.555417606149
2.1 4.45 -3032.555006714068
2.1 4.55 -3032.554620312243
2.1 4.65 -3032.5541305071133
2.1 4.75 -3032.553654307682
2.1 4.85 -3032.553221646484
2.1 4.95 -3032.5528025909834
2.1 5.05 -3032.5524406794157
2.1 5.1499999999999995 -3032.5520978158247
2.1 5.25 -3032.551831144143
2.1 5.35 -3032.5515127708086
2.1 5.45 -3032.551265147104
2.1 5.55 -3032.5510392925166
2.1 5.6499999999999995 -3032.550856976163
2.1 5.75 -3032.5506692175295
2.1 5.85 -3032.550497785734
2.1 5.95 -3032.5503481230553
2.1 6.05 -3032.5502120660753
2.2 1.8 -3021.3954390205226
2.2 1.9000000000000001 -3026.304317733031
2.2 2 -3028.825456302836
2.2 2.1 -3030.2057026683556
2.2 2.2 -3031.0308011786205
2.2 2.3 -3031.5638234477065
2.2 2.4000000000000004 -3031.9261295810797
2.2 2.5 -3032.181372476498
2.2 2.6 -3032.366774602686
2.2 2.7 -3032.502007077884
2.2 2.8 -3032.599861979399
2.2 2.9000000000000004 -3032.6697707771195
2.2 3 -3032.718596185142
2.2 3.1 -3032.7511219669
2.2 3.2 -3032.770164501891
2.2 3.3000000000000003 -3032.7762435277796
2.2 3.4 -3032.7648419528136
2.2 3.5 -3032.7034856968876
2.2 3.7 -3032.4113822443123
2.2 3.8000000000000003 -3032.4121523268223
2.2 3.9 -3032.4105033162186
2.2 4 -3032.4078093880044
2.2 4.1 -3032.404179387765
2.2 4.2 -3032.400146658863
2.2 4.300000000000001 -3032.395966988422
2.2 4.4 -3032.391841740773
2.2 4.5 -3032.387781800475
2.2 4.6 -3032.3839531570434
2.2 4.7 -3032.3803258779435
2.2 4.800000000000001 -3032.37693261685
2.2 4.9 -3032.3735992208276
2.2 5 -3032.370556986744
2.2 5.1 -3032.3677052324324
2.2 5.199999999999999 -3032.3650521213126
2.2 5.300000000000001 -3032.3625541151505
2.2 5.4 -3032.360290126995
2.2 5.5 -3032.3579798794663
2.2 5.6 -3032.3561077354143
2.2 5.699999999999999 -3032.3542736873173
2.2 5.800000000000001 -3032.3525920230386
2.2 5.9 -3032.3508613782465
2.2 6 -3032.3493320977855
2.2 6.1 -3032.347914384049
2.3 1.8499999999999999 -3021.4880366803113
2.3 1.95 -3026.394945287742
2.3 2.05 -3028.902064546276
2.3 2.15 -3030.257385272968
2.3 2.25 -3031.0493729564587
2.3 2.3499999999999996 -3031.544756422459
2.3 2.45 -3031.8673856191795
2.3 2.55 -3032.0834359407945
2.3 2.65 -3032.2339530571817
2.3 2.75 -3032.3397591286375
2.3 2.8499999999999996 -3032.412598593718
2.3 2.95 -3032.4611328398023
2.3 3.05 -3032.491979678421
2.3 3.15 -3032.5099119884508
2.3 3.25 -3032.518089012979
2.3 3.35 -3032.5182114642616
2.3 3.4499999999999997 -3032.5101269584798
2.3 3.55 -3032.49052114759
2.3 3.65 -3032.4252818254404
2.3 3.75 -3032.2069675156695
2.3 3.85 -3032.207974337325
2.3 3.9499999999999997 -3032.187065100562
2.3 4.05 -3032.193511480298
2.3 4.15 -3032.197217672447
2.3 4.25 -3032.1992802962714
2.3 4.35 -3032.200349704138
2.3 4.449999999999999 -3032.20082590357
2.3 4.65 -3032.2008776052226
2.3 4.75 -3032.2007007311477
2.3 4.85 -3032.2004721554204
2.3 4.949999999999999 -3032.2002272528557
2.3 5.05 -3032.1999823502906
2.3 5.15 -3032.199742890005
2.3 5.35 -3032.199293901969
2.3 5.449999999999999 -3032.1996558135374
2.3 5.550000000000001 -3032.1993973052745
2.3 5.75 -3032.1989510383787
2.3 5.85 -3032.1987605586055
2.3 5.949999999999999 -3032.1985891268105
2.3 6.050000000000001 -3032.1984340218523
2.3 6.15 -3032.198297964872
2.4 1.9 -3021.5599237465285
2.4 2 -3026.4633819489336
2.4 2.1 -3028.9589880657772
2.4 2.2 -3030.2953887087615
2.4 2.3 -3031.0627800113175
2.4 2.4 -3031.53030717113
2.4 2.5 -3031.823412003082
2.4 2.5999999999999996 -3032.0101474876783
2.4 2.7 -3032.1338260040925
2.4 2.8 -3032.2169649825964
2.4 2.9 -3032.27122722756
2.4 3 -3032.3043788714285
2.4 3.0999999999999996 -3032.322594179978
2.4 3.2 -3032.3304174563564
2.4 3.3 -3032.3307684833662
2.4 3.4000000000000004 -3032.3249996673926
2.4 3.5 -3032.3123055511123
2.4 3.5999999999999996 -3032.286103697808
2.4 3.7 -3032.1981646290315
2.4 3.8 -3031.9654255581877
2.4 3.9000000000000004 -3031.9757686098455
2.4 4 -3031.982092538299
2.4 4.1 -3031.9859157394512
2.4 4.2 -3031.9881661219088
2.4 4.3 -3031.989426009548
2.4 4.4 -3031.9900654773564
2.4 4.6 -3031.9903593604345
